latitude,longitude,timezone,elevation
-23.6,-70.4,-4,1000
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed
2000,1,1,0,0,0.0,0.0,0.0,17.1,2.7
2000,1,1,1,0,0.0142857142857142,0.0,0.0142857142857142,16.9,3.0
2000,1,1,2,0,25.8,103.525,3.625,17.3,3.2
2000,1,1,3,0,74.71111111111111,202.7888888888889,7.2666666666666675,17.1,3.4
2000,1,1,4,0,138.38,289.32,10.53,16.9,3.2
2000,1,1,5,0,209.38181818181815,363.5090909090909,13.38181818181818,16.8,2.2
2000,1,1,6,0,281.375,427.01666666666665,15.85,17.9,2.6
2000,1,1,7,0,378.0583333333333,521.5,19.475,20.2,1.9
2000,1,1,8,0,475.94166666666666,615.9666666666666,23.10833333333333,22.3,0.7
2000,1,1,9,0,568.9083333333333,709.7416666666667,26.70833333333333,23.9,2.1
2000,1,1,10,0,651.3666666666667,802.1916666666666,30.241666666666664,25.0,4.3
2000,1,1,11,0,718.3416666666667,892.1666666666666,33.65,25.3,6.5
2000,1,1,12,0,766.1083333333332,977.625,36.84166666666667,24.5,7.9
2000,1,1,13,0,792.5916666666667,1053.8333333333333,39.583333333333336,23.1,8.8
2000,1,1,14,0,781.225,1031.8916666666669,38.74166666666667,21.6,8.9
2000,1,1,15,0,742.3916666666668,948.8166666666666,35.708333333333336,20.1,8.9
2000,1,1,16,0,683.1083333333335,859.8083333333334,32.38333333333333,18.6,8.3
2000,1,1,17,0,606.4916666666667,767.6916666666666,28.891666666666666,16.9,7.0
2000,1,1,18,0,517.0500000000001,673.8916666666667,25.308333333333334,14.3,5.4
2000,1,1,19,0,420.36666666666673,579.4083333333333,21.683333333333334,11.7,3.1
2000,1,1,20,0,322.4833333333333,484.94166666666666,18.05,9.8,0.8
2000,1,1,21,0,229.51666666666665,391.1666666666667,14.45,8.8,0.7
2000,1,1,22,0,147.05833333333334,298.71666666666664,10.916666666666666,7.4,1.9
2000,1,1,23,0,80.08333333333333,208.74166666666665,7.508333333333333,7.3,2.8
2000,1,2,0,0,32.31666666666666,123.28333333333336,4.316666666666666,7.5,4.0
2000,1,2,1,0,5.825,47.075,1.5666666666666669,7.5,5.3
2000,1,2,2,0,17.008333333333333,68.94166666666666,2.3916666666666666,7.7,5.6
2000,1,2,3,0,55.74166666666667,152.1833333333333,5.416666666666667,7.85,5.55
2000,1,2,4,0,115.01666666666664,241.425,8.733333333333333,8.0,5.5
2000,1,2,5,0,191.74166666666667,333.8333333333333,12.216666666666669,9.4,4.4
2000,1,2,6,0,237.79166666666663,335.52500000000003,56.725,11.9,4.0
2000,1,2,7,0,314.0,343.76666666666665,124.81666666666668,15.9,4.0
2000,1,2,8,0,412.375,438.7166666666667,128.4416666666667,19.1,2.8
2000,1,2,9,0,505.9166666666667,533.0500000000001,132.04166666666666,22.1,2.0
2000,1,2,10,0,588.9499999999999,626.1,135.5666666666667,24.3,3.5
2000,1,2,11,0,656.475,716.725,138.96666666666667,25.8,6.1
2000,1,2,12,0,704.7083333333334,802.9166666666666,142.14166666666668,25.2,7.7
2000,1,2,13,0,829.7083333333334,927.9166666666666,267.14166666666665,24.6,8.3
2000,1,2,14,0,818.6583333333333,906.7333333333336,266.325,24.0,8.4
2000,1,2,15,0,779.9250000000001,823.4916666666667,263.3,22.6,8.3
2000,1,2,16,0,720.65,734.25,259.9833333333333,21.3,7.8
2000,1,2,17,0,643.9250000000001,641.8416666666667,256.5,19.5,6.5
2000,1,2,18,0,597.875,640.15,211.99166666666665,70.0,55.0
2000,1,2,19,0,521.6666666666666,631.9083333333334,143.9,14.8,2.9
2000,1,2,20,0,423.2916666666667,536.9583333333334,140.275,12.9,0.8
2000,1,2,21,0,329.75,442.625,136.675,12.1,0.7
2000,1,2,22,0,246.71666666666667,349.57500000000005,133.15,11.3,1.9
2000,1,2,23,0,179.1916666666667,258.95,129.75,10.3,3.2
2000,1,3,0,0,130.95833333333334,172.75833333333333,126.575,9.9,3.6
2000,1,3,1,0,5.958333333333333,47.75833333333333,1.575,9.5,4.4
2000,1,3,2,0,17.025000000000002,69.77499999999999,2.3833333333333333,8.8,5.2
2000,1,3,3,0,55.958333333333336,153.90833333333333,5.408333333333334,8.2,5.6
2000,1,3,4,0,115.54166666666669,243.9,8.725,7.6,5.3
2000,1,3,5,0,192.63333333333333,336.925,12.208333333333334,9.0,4.4
2000,1,3,6,0,282.69166666666666,431.575,15.783333333333331,11.3,4.4
2000,1,3,7,0,380.15,526.9166666666666,19.4,15.4,3.9
2000,1,3,8,0,478.925,622.2583333333333,23.025,18.7,2.4
2000,1,3,9,0,478.925,622.2583333333333,23.025,21.5,1.4
2000,1,3,10,0,562.3083333333333,715.6083333333332,26.558333333333334,23.9,3.7
2000,1,3,11,0,630.1333333333333,806.5,29.966666666666665,25.5,6.4
